"in", 1, 2, 3, 4
0.393, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.394, 0, 1, 0, 0
0.432, 1, 1, 0, 0
0.414, 1, 1, 0, 0
0.406, 1, 1, 0, 0
0.41, 1, 1, 0, 0
0.415, 1, 1, 0, 0
0.415, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.51, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.447, 1, 1, 0, 0
0.450, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.447, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.444, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.446, 1, 1, 0, 0
0.44, 1, 1, 0, 0
0.443, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.45, 1, 1, 0, 0
0.448, 1, 1, 0, 0
0.446, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.455, 1, 1, 0, 0
0.452, 1, 1, 0, 0
0.457, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.453, 1, 1, 0, 0
0.965, 1, 1, 1, 0
0.958, 1, 1, 1, 0
0.957, 1, 1, 1, 0
0.95, 1, 1, 1, 0
0.948, 1, 1, 1, 0
0.952, 1, 1, 1, 0
0.954, 1, 1, 1, 0
0.962, 1, 1, 1, 0
0.96, 1, 1, 1, 0
0.964, 1, 1, 1, 0
0.959, 1, 1, 1, 0
0.964, 1, 1, 1, 0
0.955, 1, 1, 1, 0
0.951, 1, 1, 1, 0
0.958, 1, 1, 1, 0
0.96, 1, 1, 1, 0
0.968, 1, 1, 1, 0
0.951, 1, 1, 1, 0
0.951, 1, 1, 1, 0
0.952, 1, 1, 1, 0
0.452, 1, 1, 0, 0
0.455, 1, 1, 0, 0
0.461, 1, 1, 0, 0
0.457, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.46, 1, 1, 0, 0
0.462, 1, 1, 0, 0
0.461, 1, 1, 0, 0
0.46, 1, 1, 0, 0
0.457, 1, 1, 0, 0
0.46, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.452, 1, 1, 0, 0
0.453, 1, 1, 0, 0
0.46, 1, 1, 0, 0
0.458, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.461, 1, 1, 0, 0
0.457, 1, 1, 0, 0
0.453, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.461, 1, 1, 0, 0
0.475, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.46, 1, 1, 0, 0
0.455, 1, 1, 0, 0
0.455, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.46, 1, 1, 0, 0
0.451, 1, 1, 0, 0
0.47, 1, 1, 0, 0
0.456, 1, 1, 0, 0
0.462, 1, 1, 0, 0
0.46, 1, 1, 0, 0
0.305, 1, 0, 0, 0
0.305, 1, 0, 0, 0
0.306, 1, 0, 0, 0
0.306, 1, 0, 0, 0
0.303, 1, 0, 0, 0
0.303, 1, 0, 0, 0
